Moça;Wando;lQ1Wcyw30Xo
Como Dois e Dois;Gal Costa;A7Z_qIJwaZs
Cotidiano;Chico Buarque;8LeIg-TtHQw
Rose Garden;Lynn Anderson;WO4wcNVbYOQ
Youve Got A Friend;James Taylor;xEkIou3WFnM
A Tonga da Mironga do Kabuletê;Toquinho, Vinicius & Monsueto;4b16M_J8l7o
My Sweet Lord;George Harrison;0kNGnIKUdMI
Você;Tim Maia;Ubfc7gTH7vo
Black Magic Woman;Santana;95kCv10duFw
Whats Going On;Marvin Gaye;H-kA3UtBj4M
If;Bread;LYFJRomR12k
Joy To The World;Three Dog Night;yf-d-Ka30EY
Festa Para Um Rei Negro;Jair Rodrigues;PD9g3Ow6Sd4
Me And Bobby McGee;Janis Joplin;WXV_QjenbDw
Be My Baby;Andy Kim;gBAuh7L3uKU
Theme From Shaft;Isaac Hayes;nFvRvSxsW-I
Amada Amante;Roberto Carlos;hoYyFlrlck4
O Cafona;Marcos Valle;x0NFAQeoesQ
No Matter What;Badfinger;Xoke1wUwEXY
Não Quero Dinheiro (Só Quero Amar);Tim Maia;um5f6s0gdmU
Lonely Days;Bee Gees;50vA6O9otjw
Another Day;Paul McCartney;vH6v9JS26xc
I Love You For All Seasons;Fuzz;4mXt5Ulnm3U
Mother;John Lennon;eDVkkwl6aJo
Casa no Campo;Elis Regina;1edqNf1AYBE
Shes A Lady;Tom Jones;0MldsqKGnLA
(Where Do I Begin) Theme From Love Story;Francis Lai;IY1v-FG8fxY
Com Mais de Trinta;Marcos Valle;GImaUqwdyqQ
De Noite na Cama;Doris Monteiro;6Th_1oQkbpo
Dont Pull Your Love;Hamilton, Joe Frank & Reynolds;E_3QqzI23sE
Desacato;Antonio Carlos & Jocafi;51aPwctcLSE
Fire And Rain;James Taylor;C3uaXCJcRrE
It Dont Came Easy;Ringo Starr;anpjEN9KeJ0
Family Affair;Sly & The Family Stone;NdiRhzTsSnk
Capim Gordura;Ivon Curi;R_RC3e4vKww
Knock Three Times;Dawn;emvVDC1-bwI
Quem Mandou Você Errar;Claudia Barroso;Vc-RA40OUFE
16 Toneladas;Noriel Vilela;Beo_jHowU-I
A Festa de Santos Reis;Tim Maia;Vh9Tb66g9iU
Mudei de Idéia;Antonio Carlos & Jocafi;Fhu39BUCCjM
One Bad Apple;Osmonds;KjfT1D1lg-E
Mas Que Doidice;Maria Creuza;WdlwfON1MaA
Ovo de Codorna;Luiz Gonzaga;B97eE4eso6o
Impossível Acreditar Que Perdi Você;Marcio Greyck;wsNkfeNQPCw
Oh Me, Oh My;B.J. Thomas;PpEBFh0xlAE
Sanctus, Sanctus, Hallelujah;Barry Ryan;FCHzebmziBk
Gypsy Woman;Brian Hyland;StC5lwA2snM
Carta de Amor;Waldik Soriano;6n-xoSCXyS0
Amanda;Taiguara;qEUKRSdgedY
Look Around (Youll Find Me There);Al Martino;No_DPh4GXCI
Construção;Chico Buarque;jzWI_JjFBr0
