 Wando
Fernando & Sorocaba
Valesca Popozuda
Eminem & Rihanna
Bruno & Marrone
Iggy Azalea & Charli XCX
Victor & Leo
Ivete Sangalo
Zezé Di Camargo & Luciano
Mr. Probz
Luan Santana
Ariana Grande & Iggy Azalea
Shakira ft Rihanna
Gusttavo Lima
Ariana Grande & Zedd
Meghan Trainor
Iggy Azalea & Rita Ora
Eduardo Costa
Paula Fernandes & Shania Twain
Tove Lo
Naldo Benny ft Ivete Sangalo
Britney Spears
Maroon 5
Guilherme & Santiago
Sorriso Maroto & Brian McKnight
Shakira & Carlinhos Brown
Raimundos
Charli XCX
Beyoncé & Jay-Z
Jason Derulo & 2 Chainz
Michael Jackson & Justin Timberlake
Ivete Sangalo & Claudia Leitte
Turma do Pagode
Dnaipes
Avicii
Jessie J, Ariana Grande & Nicki MInaj
Sorriso Maroto & Jorge & Mateus
Beyoncé
Paramore
Paula Fernandes
Pitbull & Ke$ha
Thiaguinho
Michel Teló & Gusttavo Lima
Katy Perry
Thaeme & Thiago
Sam Smith
Ricardo & João Fernando
Gusttavo LIma
Sia
Marco & Mário
Michel Teló & Bruninho & Davi
Imagine Dragons
Tânia Mara
Pitbull & Jennifer Lopez & Claudia Leitte
5 Seconds Of Summer
Nicki Minaj
MC Gui
Vanessa da Mata
Projota
Michel Teló & Prince Royce
Ivo Mozart & Doncezão
Roberto Carlos
Rihanna
Macklemore & Ryan Lewis ft Wanz
Bruno Mars
The Lumineers
will.i.am ft Britney Spears
P!nk ft Nate Ruess
Zezé de Camargo & Luciano ft Paula Fernandes
Robin Thicke ft T.I. & Pharrell
Pollo ft Ivo Mozart
Michel Teló ft Sorriso Maroto
Justin Timberlake ft Jay-Z
Gabriel Valim
Avicii ft Alec Blacc
Rihanna ft Mikky Ekko
Michel Teló
Ke$ha
Justin Timberlake
Daft Punk ft Pharrell Williams
Naldo
Miley Cyrus
Jason Mraz
Charlie Brown Jr
Selena Gomez
Baauer
Alejandro Sanz ft Ivete Sangalo
Flo Rida
Demi Lovato
João Neto & Frederico
Munhoz & Mariano
Lady Gaga
Victor & Leo ft Zezé Di Camargo & Luciano
César Menotti & Fabiano
Alicia Keys ft Nicki Minaj
Christina Aguilera
Swedish House Mafia ft John Martin
Sorriso Maroto ft Brian McKnight
Justin Bieber ft Big Sean
Rihanna ft David Guetta
Icona Pop ft Charli XCX
Macklemore & Ryan Lewis ft Ray Dalton
Eminem ft Rihanna
Daniel
Pitbull ft TJR
Calvin Harris ft Florence Welch
Strike
Adele
David Guetta ft Akon & Ne-Yo
João Bosco & Vinicius
Lana Del Rey
Sorriso Maroto
Michel Teló ft Paula Fernandes
Jammil e uma Noites
Zedd ft Foxes
Psy
Carly Rae Jepsen
Gotye ft Kimbra
Paula Fernandes & Taylor Swift
Israel Novaes ft Gusttavo Lima
LMFAO
Paula Fernandes ft Victor & Leo
Maroon 5 ft Christina Aguilera
Madonna ft Nicki Minaj & M.I.A.
Justin Bieber
João Lucas & Marcelo
Bad Meets Evil ft Bruno Mars
Maroon 5 ft Wiz Khalifa
Zezé de Camargo & Luciano
Flo Rida ft Sia
Gaby Amarantos
Shakira ft Pitbull
Eduardo Costa & Paula Fernandes
NX Zero
Gym Class Heroes
Fun. ft Janelle Monáe
Jennifer Lopez ft Pitbull
Rihanna ft Calvin Harris
Chris Brown
David Guetta ft Nicki Minaj
P!nk
Dev
Jessie J
Kelly Clarkson
Charlie Brown Jr.
Justin Bieber ft Ludacris
Pitbull
Música das Empreguetes (Elenco da Novela)
Leonardo
Jota Quest
Daddy Kall ft Latino
Luan Santana ft Adelaide
Shakira ft Dizzee Rascal or El Cata
Luan Santana & Ivete Sangalo
LMFAO ft Lauren Bennett & Goon Rock
The Black Eyed Peas
Far East Movement ft Cataracs & Dev
João Bosco & Vinícius
Exaltasamba ft Mr. Catra
Katy Perry ft Kanye West
Rihanna ft Drake
Maria Cecília & Rodolfo
Restart
Jason Derulo
Exaltasamba
Justin Bieber ft Jadem Smith
Jennifer Lopez ft Lil Wayne
Fresno
Maria Cecília & Rodolfo ft Exaltasamba
João Carreiro & Capataz
Pitbull ft Ne-Yo, AfroJack & Nayer
Akon
Hugo Pena & Gabriel
CPM 22
Pink
Pitty
Chris Brown ft Justin Bieber
Humberto & Ronaldo
David Guetta ft Usher
Taio Cruz ft Kylie Minogue
Cee-Lo Green
Alexandre Peixe
Claudia Leitte
Parangolé
Tinie Tempah ft Eric Turner
Zé Henrique & Gabriel
Agridoce
Cobra Starship ft Sabi
Flo Rida ft David Guetta
Katy Perry ft Snoop Dogg
Rihanna ft Young Jeezy
Lady Gaga ft Beyoncé
Edson
Skank
Beyoncé & Lady Gaga
Edward Maya ft Vika Jigulina or Alicia
David Guetta ft Akon
Yolanda Be Cool & Dcup
Jay Sean ft Lil Wayne
Christian & Cristiano
Hevo 84
B.o.B ft Bruno Mars
Claudia Leitte ft Travie McCoy
Enrique Iglesias ft Pitbull
Hóri
Jay-Z + Alicia Keys
Cine
Stevens
Chimarruts
Alicia Keys
Usher ft will.i.am
Marcelo Mira & Marcelo D2
Ne-Yo
Knaan ft Skank
David Guetta & Chris Willis ft Fergie & LMFAO
Zé Henrique e Gabriel
Young Money ft Lloyd
Sorriso Maroto & Ivete Sangalo
Detonautas
Usher ft Pitbull
Lady Antebellum
Capital Inicial
Taio Cruz ft Ludacris
Travie McCoy ft Bruno Mars
Ornella Di Santis & Belo
Edson & Hudson
Lady GaGa ft Colby ODonis
Wanessa Camargo & Ja Rule
Beyonce
Lady GaGa
Os Paralamas do Sucesso
The Pussycat Dolls
Edson & Hudson ft Bruno & Marrone
Shakira
Mariah Carey
Madonna
T.I. ft Rihanna
Jason Mraz ft Colbie Caillat
Ciara ft Justin Timberlake
Seu Jorge
Natiruts & Claudia Leitte
Hugo & Thiago ft Zezé Di Camargo & Luciano
Latino & Perlla
Túlio Dek & Di Ferrero
Soulja Boy Tellem ft Sammie
Kid Cuti
A.R. Rahman & The Pussycat Dolls
Kanye West
T.I. ft Justin Timberlake
Scracho
Marcelo D2
Ana Carolina ft John Legend
Belo
Agnela
The Veronicas
Gloria
Colbie Caillat
Marcos & Bellutti
Ashley Tisdale
Claúdia Leitte
Flo Rida & T-Pain
Rihanna & Ne-Yo
Wanessa Camargo & Camila
Fergie
Danni Carlos
Usher & Young Jeezy
Darvin
Leona Lewis
Armandinho
Tihuana
Backstreet Boys
Chris Brown & T-Pain
Madonna & Justin Timberlake
Marisa Monte
Edson & Hudson & Bruno & Marrone
Sean Kingston
Timbaland & One Republic
James Blunt
Simple Plan
Demi Lovato & Joe Jonas
Skank & Negra Li
Avril Lavigne
O Rappa
Offline
Jonas Brothers
Seu Cuca
MC Créu
50 Cent & Justin Timberlake & Timbaland
Dibob
Estelle & Kanye West
Jennifer Lopez
Lil Wayne & Static Major
Inimigos da HP
Victor & Léo
Kardinal Offishall & Akon
DBlack & Negra Li
Lenny Kravitz
Nathália
Wanessa Camargo
Baby Boy Da Prince & Lil Boosie
Natiruts
Nicole Scherzinger & will.i.am
30 Seconds To Mars
DBlack
Naldo & Lula
T.I. & Rihanna
Rodriguinho
Papas da Língua
Vanessa da Mata e Ben Harper
Sean KIngston
 Diddy featuring Keyshia Cole
Rihanna featuring Jay-Z
Perlla & Belo
Beyoncé & Shakira
Akon featuring Snoop Dogg
Timbaland featuring Nelly Furtado & Justin Timberlake
Justin Timberlake featuring T.I.
Akon featuring nem
